,Symbol,Security
27,AAPB,GraniteShares 1.75x Long AAPL Daily ETF
28,AAPD,Direxion Daily AAPL Bear 1X Shares
29,AAPL,Apple Inc.
30,AAPU,Direxion Daily AAPL Bull 1.5X Shares
477,AMD,"Advanced Micro Devices, Inc. - Common Stock"
533,AMZD,Direxion Daily AMZN Bear 1X Shares
534,AMZN,"Amazon.com, Inc. - Common Stock"
535,AMZU,Direxion Daily AMZN Bull 1.5X Shares
996,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share
997,BABX,GraniteShares 1.75x Long BABA Daily ETF
1515,BRK-B,Berkshire Hathaway
1516,BRK.A,Berkshire Hathaway Inc. Common Stock
1517,BRK.B,Berkshire Hathaway Inc. New Common Stock
1823,CCEP,Coca-Cola Europacific Partners plc - Ordinary Shares
1825,CCH,Coca-Cola HBC
2277,COKE,"Coca-Cola Consolidated, Inc. - Common Stock"
2313,COST,Costco Wholesale Corporation - Common Stock
2394,CRM,Salesforce
2420,CSCO,"Cisco Systems, Inc. - Common Stock"
2815,DIS,Walt Disney Company (The) Common Stock
3635,F,Ford Motor Company Common Stock
3636,F$B,"Ford Motor Company 6.20% Notes due June 1, 2059"
3637,F$C,"Ford Motor Company 6% Notes due December 1, 2059"
3638,F$D,"Ford Motor Company 6.500% Notes due August 15, 2062"
4425,GGLL,Direxion Daily GOOGL Bull 1.5X Shares
4426,GGLS,Direxion Daily GOOGL Bear 1X Shares
4604,GOOG,Alphabet Inc. (Class C)
4605,GOOGL,Alphabet Inc. (Class A)
5856,JNJ,Johnson & Johnson
6080,KOF,"Coca Cola Femsa S.A.B. de C.V.  American Depositary Shares, each representing 10 Units (each Unit consists of 3 Series B Shares and 5 Series L Shares)"
6075,KO,Coca-Cola Company (The) Common Stock
6080,KOF,"Coca Cola Femsa S.A.B. de C.V.  American Depositary Shares, each representing 10 Units (each Unit consists of 3 Series B Shares and 5 Series L Shares)"
6510,MA,Mastercard Incorporated Common Stock
6978,MSFD,Direxion Daily MSFT Bear 1X Shares
6979,MSFT,Microsoft
6980,MSFU,Direxion Daily MSFT Bull 1.5X Shares
6686,META,"Meta Platforms, Inc. - Class A Common Stock"
7047,MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock"
7484,NVDA,Nvidia
7485,NVDL,GraniteShares 1.5x Long NVDA Daily ETF
7486,NVDS,AXS 1.25X NVDA Bear Daily ETF
8659,RACE,Ferrari N.V. Common Shares
10303,TM,Toyota Motor Corporation Common Stock
10462,TSLA,"Tesla, Inc."
10463,TSLH,Innovator ETFs Trust Innovator Hedged TSLA Strategy ETF
10464,TSLI,GraniteShares 1x Short TSLA Daily ETF
10465,TSLL,Direxion Daily TSLA Bull 1.5X Shares
10466,TSLQ,AXS TSLA Bear Daily ETF
10467,TSLS,Direxion Daily TSLA Bear 1X Shares
10468,TSLX,"Sixth Street Specialty Lending, Inc. Common Stock"
10469,TSLY,Tidal ETF Trust II YieldMax TSLA Option Income Strategy ETF
10796,V,Visa Inc.
11284,WMT,Walmart